atman,âtman
trata,trâta
sadhika,sādhikā
shishya,shis͟hya
shri,shrī
chitrapur,chitrāpur
math,mat̲h̲
varuni,vāruni
murdeshwar,murḍeshwar
krishnabai,kṛishnabai
bhat,bhaṭ
vidushi,vidus͟hī
udyavar,udyāvar
paruiekar,paruīekar
akka,ākkā
ustad,ustād
khadim,khādim
khan,khān
agra,āgrā
gharana,gharānā
faiyaz,faiyāz
pandit,paṇḍit
ratanjankar,rātañjankar
hindustani,hindustānī
banaras,banāras
hindu,hindū
narayan,nārāyaṇ
saraswat,sāraswat
dhanyavad,dhanyavād
gurumata,gurumātā
sudha,sudhā
kodikal,koḍikal
pachi,pāchī
samaja,samāja
mathadhipati,mat͟hādhipati
pitha,pīt͟ha
kartika,kārtika
masa,māsa
krishnanand,kṛis͟hṇānand
mankikar,maṅkīkar
dipavali,dīpāvalī
ram,rām
lanka,laṅkā
ravana,rāvaṇa
ashwija,āshwija
krshna,kṛs̲h̲ṇa
dwadashi,dwādashī
panchanga,pañchāṅga
dhanatrayodashi,dhanatrayodashī
chaturdashi,chaturdashī
amavasya,amāvāsyā
prathama,prathamā
pratipada,pratipadā
dwitiya,dwitīya
purnima,pūrṇimā
paksha,paks͟ha
trtiya,tṛtīya
chaturthi,chaturthī
panchami,pañchamī
shashthi,s͟has͟ht͟hī
saptami,saptamī
ashtami,as͟hṭamī
navami,navamī
dashami,dashamī
ekadashi,ekādashī
trayodashi,trayodashī
nakshatra,naks͟hatra
chitra,chitrā
vaishakha,vaishākha
vishakha,vishākhā
grishma,grīshma
jyeshtha,jyeshthā
ashadha,ās̲h̲ād̲h̲a
purvashadha,pūrvāshādha
uttarashadha,uttarāshādha
shravana,shravaṇa
varsha,varshā
bhadrapada,bhādrapada
purvabhadra,pūrvābhadrā
uttarabhadra,uttarābhādrā
ashwina,āshwina
ashvayuja,ashvāyuja
ashwini,ashwinī
krttika,kṛttikā
margashira,mārgashira
mrgashira,mṛgashirā
magha,māgha
phalguna,phālguna
phalguni,phālgunī
rtu,ṛtu
ashwin,āshwin
marathi,marāt̲h̲ī
karunamaya,karuṇāmaya
parjanyastra,parjanyāstra
dushkala,dus̲h̲kāla
bali,balī
vishnu,vis̲h̲ṇu
vamana,vāmana
brahmana,brāhmaṇa
patala,pātāla
onam,oṇam
maharashtra,mahārashṭra
baliraja,balīrājā
padva,pāḍva
arati,āratī
bhai,bhāi
duj,dūj
bhau,bhāu
bij,bīj
yami,yamī
rakhi,rākhī
saraswats,sāraswats
pujya,pūjya
sadyojat,sadyojāt
shankarashram,shaṅkarāshram
swamiji,swāmījī
utthana,utthāna
vaishnava,vāis̲h̲nava
kartiki,kārtikī
varakari,vārakarī
sampradaya,sampradāya
viththal,vit̲h̲t̲h̲al
pandharpur,paṇd͟harpur
aiandi,āīandī
jnaneshwara,jñāneshwara
samadhi,samādhi
palaki,pālakī
shayani,shayanī
prabodhini,prabodhinī
purana,purāṇā
chaturmasa,chāturmāsa
sanyasin,sanyāsin
sadhana,sādhanā
pada,pāda
prakshalana,praks͟hālana
phalamantrakshata,phalamantrākshata
simollanghana,sīmollaṅghana
tulasi,tulasī
vivaha,vivāha
vrnda,vṛndā
jalandhara,jālandhara
avatara,avatāra
shaligrama,shāligrāma
narmada,narmadā
haripriya,haripriyā
pujana,pūjana
nanak,nānak
bhagawan,bhagawān
mahavira,mahāvīra
tirthankara,tīrthaṅkara
nirvana,nirvāṇa
kartikeya,kārtikeya
tripuri,tripurī
tripurasura,tripurāsura
tripurari,tripurāri
diwali,diwālī
karthigai,kārthigai
dipam,dīpam
radha,rādhā
rasa,rāsa
lila,līlā
gopi,gopī
mahaprabhu,mahāprabhu
bhavanishankar,bhavānīshaṅkar
dipotsava,dīpotsava
shrimad,shrīmad
devasthana,devasthāna
vittla,viṭṭlā
sacchidanand,sacchidānand
dattatreya,dattātreya
kundapura,kundāpura
shirali,shirālī
umamaheshwar,umāmaheshwar
mangaluru,maṅgal̄ūru
bhandikeri,bhaṇḍikerī
gokarna,gokarṇa
janardan,janārdan
manki,maṅkī
samaradhana,samārādhanā
mahasamadhi,mahāsamādhi
vamanashram,vāmanāshram
bandana,bandanā
kalinga,kaliṅga
pushkar,pus͟hkar
kshetra,ks̲h̲etra
brahma,brahmā
lakshmi,laks͟hmī
kartigai,kārtigai
boita,boitā
nirody,niroḍy
puttur,puttūr
dakshina,daks͟hiṇa
kannada,kannaḍa
karnataka,karnāṭaka
sitar,sitār
nilakantbua,nīlakāntbuā
shastri,shāstrī
hospet,hospeṭ
sunderrao,sunderrāo
udupi,uḍupī
gawai,gawaī
ramarao,rāmarāo
vinayakrao,vināyakrāo
patwardhan,paṭwardhan
kundapur,kundāpur
mumbai,mumbaī
hebiekar,hebīekar
acharya,āchārya
kaikini,kāikiṇi
chidanand,chidānand
ragadari,rāgadarī
sangita,saṅgīta
khayal,khayāl
thumri,thumrī
dharwad,dhārwād
gangubai,gangūbāī
hangal,haṅgal
mysuru,mysūru
babu,bābū
rajendra,rājendra
prasad,prasād
sangit,saṅgīt
nrtya,nṛtya
rajya,rājya
vidwan,vidwān
puraskar,puraskār
sawai,sawāī
rastrtya,rāsṭrṭya
sri,srī
gandharva,gaṅdharva
smarak,smārak
kundgol,kunḍgol
nataka,nāṭaka
pranab,praṇab
bharati,bhāratī
saptasur,saptasūr
kalakar,kalākār
mandali,maṇḍali
bengaiuru,beṅgaīūru
sankula,saṅkula
sangitha,saṅgītha
sabha,sabhā
kala,kalā
tapasvi,tapasvī
